titleid|console|mediatype|name|namelang|parentallevel|icon|iconlang|resolution|soundformat
BCAS20002|ps3|disc|ＧＥＮＪＩ™　神威奏亂||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20002_00_BF82901BCED763F4D3229C9F2B2ABDBDF30139E3/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20003|ps3|disc|Resistance: Fall of Man™|"<name lang=""0"">レジスタンス：人類没落の日</name><name lang=""9"">Resistance: 인류몰락의 날</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20003_00_3E7EF3B3815719F0C085AF2E33C3916407BDEE95/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20004|ps3|disc|MotorStorm™||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20004_00_39339B43B7B44F6A68F5A754ED01F51843CA4DD7/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20013|ps3|disc|Folklore™||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20013_00_0736A17803400429860EC109565533FB08FC6D5E/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20014|ps3|disc|Lair|"<name lang=""0"">RISEFROMLAIR</name><name lang=""1"">Lair</name>"|7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20014_00_9C920CA69B81B32963417E768B0667857D733C9F/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20015|ps3|disc|Warhawk™||7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20015_00_4AE8689BBB0571BA93445B336A291D75805CD7B7/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20016|ps3|disc|Heavenly Sword™ |"<name lang=""0"">Heavenly Sword™</name><name lang=""1"">Heavenly Sword™ </name><name lang=""2"">Heavenly Sword™</name><name lang=""3"">Heavenly Sword™</name><name lang=""4"">Heavenly Sword™</name><name lang=""5"">Heavenly Sword™</name><name lang=""6"">Heavenly Sword™</name><name lang=""7"">Heavenly Sword™</name><name lang=""8"">Heavenly Sword™</name><name lang=""9"">Heavenly Sword™</name><name lang=""10"">Heavenly Sword™</name><name lang=""11"">Heavenly Sword™</name>"|7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20016_00_20E1EC28235A58971438B1C9D81AB6773C9FA924/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20018|ps3|disc|Railfan TAIWAN HIGH SPEED RAIL|"<name lang=""1"">Railfan TAIWAN HIGH SPEED RAIL</name>"|1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20018_00_E97477B8736D74368F52200417EC74E571318E70/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
BCAS20021|ps3|disc|THE EYE OF JUDGMENT™||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20021_00_BF8E1FDA8C462E3829F29135C1827BF079720A89/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20023|ps3|disc|Ratchet and Clank Future™|"<name lang=""1"">Ratchet and Clank® Future: Tools of Destruction™</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20023_00_D392759EFF43730EBBC5DC9E9E824608572D5B23/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20024|ps3|disc|Uncharted: Drake's Fortune™|"<name lang=""0"">アンチャーテッド：エル・ドラドの秘宝</name><name lang=""3"">Uncharted: El Tesoro de Drake™</name><name lang=""4"">Uncharted: Drakes Schicksal™</name><name lang=""9"">UNCHARTED: 엘도라도의 보물™</name>"|7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20024_00_9CA56252D22FA8640A0536D02A35C9FDC03371A7/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20027|ps3|disc|GRAN TURISMO 5 Prologue||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20027_00_714858DEB0191EB8AEC3AE9AD6D649BE5B88701A/ICON0.PNG||480,720,1080,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20044|ps3|disc|MOTORSTORM® 2||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20044_00_6C2F8AD362E485405E44B621395C1A1459D8880A/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20047|ps3|disc|SIREN: New Translation||8|http://tmdb.np.dl.playstation.net/tmdb/BCAS20047_00_4A00D124E274534359AE382FA159BA0B70438147/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20050|ps3|disc|HAKUNA MATATA™|"<name lang=""0"">HAKUNA MATATA™</name>"|1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20050_00_0EA5092C44BD9CA47D121CC487AD2E94BD192546/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20051|ps3|disc|SOCOM: U.S. Navy SEALs Confrontation|"<name lang=""0"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""1"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""2"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""3"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""4"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""5"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""6"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""7"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""8"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""9"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""10"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""11"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""12"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""13"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""14"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""15"">SOCOM: U.S. Navy SEALs Confrontation</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20051_00_D7B627B6B17A463D26F79301AA8B796D8357EEC8/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20052|ps3|disc|Ratchet &amp; Clank® Future: Quest for Booty™|"<name lang=""0"">ラチェット＆クランク FUTURE 海賊ダークウォーターの秘宝</name><name lang=""9"">라쳇 &amp; 클랭크® : 퓨처 - 해적 다크워터의 보물 - </name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20052_00_12CED172C87A5FAB9195626133237D117EEE917F/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20055|ps3|disc|Resistance 2™|"<name lang=""9"">레지스탕스 2™</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20055_00_60DACC0CEAD3A437F0D541F771ED6A6528C04EE7/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20058|ps3|disc|LittleBigPlanet™|"<name lang=""0"">リトルビッグプラネット™</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20058_00_02C90D089DD2D6EDB79CCAD17546964BBBA90CC1/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20062|ps3|disc|HAKUNA MATATA™|"<name lang=""0"">HAKUNA MATATA™</name><name lang=""1"">HAKUNA MATATA™</name><name lang=""9"">HAKUNA MATATA™</name><name lang=""10"">HAKUNA MATATA™</name>"|1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20062_00_BADED621350B9E0B9ABD7275FF8B294E4440EFC2/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20064|ps3|disc|AQUANAUT'S HOLIDAY ™　- Hidden memories -|"<name lang=""0"">AQUANAUT'S HOLIDAY ™　～隠された記録～</name><name lang=""1"">AQUANAUT'S HOLIDAY ™　- Hidden memories -</name><name lang=""9"">AQUANAUT'S HOLIDAY ™　～숨겨진 기록～</name><name lang=""10"">AQUANAUT'S HOLIDAY ™　～堡礁秘辛～</name>"|1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20064_00_F296A3FD91A84D592D2F0877E6B404B3E58E0EA9/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20066|ps3|disc|Killzone™2||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20066_00_A6217C00EE8CE6478555DEEA60DD092358591F54/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20071|ps3|disc|Demon's Souls||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20071_00_69A914CE181245DBA5E8FA2B4A5F8E111869539A/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,Dolby
BCAS20073|ps3|disc|The Last Guy BD ver.||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20073_00_6FEDC6D48A238DD1F98B96368A30247813BDE862/ICON0.PNG||480,576,720,1080|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20074|ps3|disc|inFamous||0|http://tmdb.np.dl.playstation.net/tmdb/BCAS20074_00_ADD800294F078ABEB42EF360CD5E4DB86322EF83/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20078|ps3|disc|LittleBigPlanet™|"<name lang=""0"">リトルビッグプラネット™</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20078_00_E6C4149345F7F976BCD6CA6E197B0B81D53BFA13/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20081|ps3|disc|MAG™||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20081_00_9720FFDEC29E2D0815E1B2BCBBF7ED4816491B31/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20087|ps3|disc|TORO ! Let's Party !|"<name lang=""9"">토로랑 여기여기 붙어라</name><name lang=""10"">多樂貓歡樂喵派對</name>"|1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20087_00_78CBBB603768F8EBE8ADAF62CA28543730893FD5/ICON0.PNG||480,720,1080,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20097|ps3|disc|Uncharted 2: Among Thieves™|"<name lang=""0"">アンチャーテッド®黄金刀と消えた船団</name><name lang=""3"">Uncharted 2: El reino de los ladrones™</name><name lang=""5"">Uncharted 2: Il covo dei ladri™</name><name lang=""9"">Uncharted 2: 황금도와 사라진 함대™</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20097_00_3BAF9FC65DE4AE89B70D15792EF9FF6ACC5E57AB/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20098|ps3|disc|Ratchet &amp; Clank Future: A Crack In Time||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20098_00_0669A43492C316CB62E0328E98D44C9E02957CC8/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20100|ps3|disc|WipEout® HD Fury||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20100_00_EAE547C3BFEE2324969EA5ED34F8727C3924CE6D/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20103|ps3|disc|EyePet™||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20103_00_84BE55A72FFC6881ED4C3FC1A495E2E05C9C8CDA/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
BCAS20105|ps3|disc|ModNation™ Racers||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20105_00_F179CF4EB11DEA76B8DFB0D28FA0054AC220ED30/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20107|ps3|disc|HEAVY RAIN™||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20107_00_59D487E732FC5C6794EC94E062EF44C429CA0AA2/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20108|ps3|disc|Gran Turismo 5||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20108_00_5F74BF26631DCB9180E63A97A574555B381B35F6/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20113|ps3|disc|LittleBigPlanet™2|"<name lang=""0"">リトルビッグプラネット™2</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20113_00_57E67D6F44546494EAB892081050A6C3FF618A11/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20121|ps3|disc|SOCOM 4: U.S. Navy SEALs||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20121_00_9D74935581CF261429E85EAC65EC70DC4E988B8E/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20125|ps3|disc|Sports Champions™||7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20125_00_8BF014D2CA726913F039E739D941DD1EC92CC7BF/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20128|ps3|disc|TV Superstars||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20128_00_F468163B8443ACB8612B1B3B183AB596900269FF/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20132|ps3|disc|Kung Fu Rider™ / 功夫滑仔™||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20132_00_0F62468B87779A0C8479CB599F738C37300F23BC/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20133|ps3|disc|echochrome™ ii無限回廊™ Ⅱ||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20133_00_CA4683BE7B8C38470F90B2B699173CD6EE2E5564/ICON0.PNG||480,720,1080|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20134|ps3|disc|The Shoot™||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20134_00_C67FFFAB847F64C6982DEEB2C15CC48C46D21F1C/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,Dolby
BCAS20135|ps3|disc|Start the Party!™||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20135_00_1808C45355A9F340A3D81204603CC52712998A29/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM
BCAS20140|ps3|disc|EyePet™ Move Edition|"<name lang=""9"">Eye♡Pet™ Move Edition</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20140_00_C832C16D0EE1B02FFFC628180B3481437CAA5270/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
BCAS20141|ps3|disc|THE FIGHT™||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20141_00_20BB6A9C2D98A3B787F55F292CD7EA753F2E300A/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20144|ps3|disc|Beat Sketch !™|"<name lang=""9"">Beat Sketch !™신나게 그리자！</name><name lang=""10"">Beat Sketch !™動感塗鴉</name>"|1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20144_00_D7D708704FE060E7A9ADD667F00F72A6FE0E383E/ICON0.PNG||480,720,1080|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20153|ps3|disc|SingStar™ Dance||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20153_00_C0A7D0519426223EED9C695E5B59886BB8647A94/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM
BCAS20159|ps3|disc|Ape Escape™ On The Move ! / 揮一揮！捉猴啦™ / 삐뽀사루 겟츄~!!™||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20159_00_2FA0F38AB9619A0D8C6DB47E0CBF0FFC46EAFE7F/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20160|ps3|disc|MOTORSTORM™3: APOCALYPSE|"<name lang=""9"">MOTORSTORM®3: APOCALYPSE</name>"|7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20160_00_B868B30361FAE1BE84A75575CBA9ECED0ACC2DDB/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20163|ps3|disc|PlayStation®Move Heroes||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20163_00_9CAF3A7999C70920000B65F751527C090202D6C1/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20171|ps3|disc|Starhawk™||7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20171_00_CB8B559DBE52179E46A4132D0DEED61E7DFA0D5A/ICON0.PNG||480,576,720,1080|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20175|ps3|disc|God of War™: Origins Collection|"<name lang=""9"">God of War®: Origins Collection</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20175_00_EE09564B762B4216C8D8749413E4544CE82DD4C2/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20181|ps3|disc|inFamous 2||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20181_00_C8BC5B7733F1890553436C6D77F3E45B3EC51D56/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20185|ps3|disc|魔界戰記ＤＩＳＧＡＥＡ４||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20185_00_CE99CB6FA47401586DECB23208184B7E2F893ADD/ICON0.PNG||480,720,1080,480SQ|2LPCM
BCAS20186|ps3|disc|BLEACH SOUL IGNITION|"<name lang=""9"">블리치 소울 이그니션</name>"|5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20186_00_6C4E83101CB903D85F914F172DDFAC74A4783F1A/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20200|ps3|disc|Ratchet &amp; Clank™: All 4 One|"<name lang=""9"">Ratchet &amp; Clank®: All 4 One</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20200_00_92A991C368E1EE93C00A2D89B9DE5C750DABFABA/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20201|ps3|disc|LittleBigPlanet™2: Special Edition||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20201_00_B48AC39E016ACAF4A463219883B2A85D5294C845/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20204|ps3|disc|Medieval Moves: Deadmund's Quest|"<name lang=""9"">데드먼드의 이상한 모험</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20204_00_36FED7C666BA4FD151D440BC8B01FEBE62F26168/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20205|ps3|disc|LittleBigPlanet™ Karting||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20205_00_395FDEA374F91C21110C8864BE1FDB492CAC5F01/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20210|ps3|disc|Carnival Island|"<name lang=""9"">카니발 아일랜드</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20210_00_5C7557D25F393EC16992A9BC45EFE7074B382ABC/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20212|ps3|disc|EyePet™ &amp; Friends||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20212_00_E6098D486847C438F00422E08DAFE0214C1945F0/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM
BCAS20224|ps3|disc|FINAL FANTASY XIII-2||7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20224_00_97ABDD5776AFC4829FF336A4A680CC67685B54C4/ICON0.PNG||480,720,1080,480SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20230|ps3|disc|Twisted Metal™||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20230_00_70738D4D769DFD5A22CC00A5C7510AAADB1DCB05/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20233|ps3|disc|TOKYO JUNGLE||7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20233_00_F1E3BF536158A54A3BC0E788BA8B778DF84CB912/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20235|ps3|disc|Sorcery™||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20235_00_B09DF6B131931320948110C87F10F5B3AE577A11/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20247|ps3|disc|Journey™ Collector's Edition||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20247_00_61859B2B36892D0742F10F59BB82B3F0684D6560/ICON0.PNG||480,720,1080,480SQ|2LPCM
BCAS20253|ps3|disc|PlayStation® All-Stars Battle Royale|"<name lang=""1"">PlayStation® All-Stars Battle Royale</name><name lang=""9"">PlayStation® All-Stars Battle Royale</name><name lang=""10"">PlayStation® All-Stars Battle Royale</name>"|5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20253_00_E15A19C259F674B6D7A591B07D8623174DE51B34/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20254|ps3|disc|Sports Champions™ 2||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20254_00_03192A16DE91D0B1AC5BECF6C7EC63B80569CC65/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20265|ps3|disc|Wonderbook™: Book of Spells||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20265_00_884696549C0327829FC2C8C0A3198A5E7CF04A66/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20270|ps3|disc|The Last of Us™||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20270_00_24ECDCBD930FECF080CB33368207F588566B16D1/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20272|ps3|disc|Tomb Raider||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20272_00_ACEFB0A97E4AD0461821FA39B11B3E3B2EC12F85/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20279|ps3|disc|LIGHTNING RETURNS: FINAL FANTASY XIII||7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20279_00_0A9F4D3BFE67779B0E1A46B88A3B7773F6A2C0B4/ICON0.PNG||480,720,1080,480SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20281|ps3|disc|Puppeteer™|"<name lang=""9"">Puppeteer™</name><name lang=""10"">Puppeteer™</name><name lang=""11"">Puppeteer™</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20281_00_0F3FCFC2AEA65EAA9018769F04B0198D0EE1F258/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20289|ps3|disc|FINAL FANTASY X/X-2 HD Remaster||7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20289_00_AB4CFD2125DE45D88F617CC16652123D7DC8D03C/ICON0.PNG||480,720,1080,480SQ|2LPCM
BCAS20292|ps3|disc|KILLER IS DEAD™||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20292_00_A8BC698D2FE77C7F75FFEAA78C25230EB23368A4/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby
BCAS20298|ps3|disc|Dragon's Crown||7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20298_00_433DD9BF89C6D6C0046F379B5EE719CBEDBCDBC0/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
BCAS20301|ps3|disc|Disgaea D2|"<name lang=""0"">ディスガイア D2</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20301_00_BDD5C8B7515E52BCD9B79EFC35897265FBA991B5/ICON0.PNG||480,720,1080,480SQ|2LPCM
BCAS20310|ps3|disc|AKIBA'S TRIP 2|"<name lang=""9"">AKIBA'S TRIP 2</name><name lang=""10"">AKIBA'S TRIP 2</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20310_00_DE813C6D2A5D4C4AB7DF8A4ED81C8F24E3ED839A/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM
BCAS20311|ps3|disc|DRAG-ON DRAGOON 3||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20311_00_D151458378C2C78EC9EFD9C1B8F265535A4FE551/ICON0.PNG||480,720|2LPCM,5.1LPCM,Dolby,DTS
BCAS20313|ps3|disc|BLAZBLUE  CHRONOPHANTASMA||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20313_00_51DBFE32EE87198877FA058C7EA72E8C211BCE0A/ICON0.PNG||480,720,480SQ|2LPCM
BCAS20317|ps3|disc|Ragnarok Odyssey ACE|"<name lang=""9"">Ragnarok Odyssey ACE</name><name lang=""10"">Ragnarok Odyssey ACE</name><name lang=""11"">Ragnarok Odyssey ACE</name>"|7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20317_00_A92481EA445C1E97BF98F74D76327E479B4313DD/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20333|ps3|disc|The Evil Within||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20333_00_96C270C72AB607FBF48306F5485D421C025CA8C1/ICON0.PNG||480,576,720|2LPCM,5.1LPCM,Dolby,DTS
BCAS20343|ps3|disc|Persona4 the ULTIMAX Ultra Suplex Hold||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20343_00_E9C22E359255FEEAA98899D133E80969C6A1AB6D/ICON0.PNG||480,720,480SQ|2LPCM
BCAS25003|ps3|disc|God of War™ III||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS25003_00_08C3FEF0761C42BF3DA0B92BDE4F14E8095B56DD/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
