titleid|console|mediatype|name|namelang|parentallevel|icon|iconlang|resolution|soundformat
NPUB31436|ps3|edi|Middle-Earth™: Shadow of Mordor™|"<name lang=""1"">Middle-Earth™: Shadow of Mordor™</name><name lang=""2"">La Terre du Milieu™ : L'Ombre du Mordor™</name><name lang=""3"">La Tierra Media™: Sombras de Mordor™</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31436_00_CF91E3180E7338F349374FA1B3620669917210CE/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
NPUB31437|ps3|edi|Don Bradman Cricket 14||3|http://tmdb.np.dl.playstation.net/tmdb/NPUB31437_00_49F943930E774DD0531F71B4EC892F3CCD775543/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
NPUB31438|ps3|edi|Sportsfriends||4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31438_00_9D624F14D3CF310514538D8E8ECD1A2DA83A0734/ICON0.PNG||480,576,1080|2LPCM
NPUB31440|ps3|edi|Alien: Isolation™||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31440_00_2B977A8DD90ECBDB206F8196223CC1A56F6143AB/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
NPUB31441|ps3|edi|Batman™: Arkham Origins Blackgate - Deluxe Edition||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31441_00_3ADDFF0F8B2CCDBDB8FA9EDF6F701698DC183DFF/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
NPUB31442|ps3|edi|Deception IV: Blood Ties||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31442_00_C8A3292B6D2941A7D462B5E7C87A40E59D53802B/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,Dolby
NPUB31443|ps3|edi|Tales of Xillia 2||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31443_00_9131396A3B27924A45FBE03A8B2887E4643A7A2C/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby
NPUB31445|ps3|edi|Skullgirls Encore||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31445_00_92654C99AF9A179FFA271A31196923478CEF8A92/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
NPUB31446|ps3|edi|Sniper Elite 3||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31446_00_68E7FDCF745F1DBC3A7C24C4BBEFC706A1327A30/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
NPUB31447|ps3|edi|Vessel||4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31447_00_C642742F1232E12C6E653CA1687AAE6341608BC0/ICON0.PNG||480,576,720|2LPCM
NPUB31448|ps3|edi|FEZ||3|http://tmdb.np.dl.playstation.net/tmdb/NPUB31448_00_AFB2F54E30BE52A95DF559BCCD6C3431F72B2B99/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
NPUB31449|ps3|edi|DYNASTY WARRIORS 8: Xtreme Legends||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31449_00_52543BD4C6BD70301F07879ABCE3A2649AEA6AE0/ICON0.PNG||480,720,480SQ|2LPCM,Dolby
NPUB31450|ps3|edi|Assassin's Creed® Freedom Cry||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31450_00_E3303F9CC3134E09A5A203F0A51D04FE29CC6CB3/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
NPUB31451|ps3|edi|MotoGP™13||3|http://tmdb.np.dl.playstation.net/tmdb/NPUB31451_00_FEE479621CE3F3EEEB5BD85F806FEFB5E5AB3504/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
NPUB31452|ps3|edi|WRC 4 FIA WORLD RALLY CHAMPIONSHIP||3|http://tmdb.np.dl.playstation.net/tmdb/NPUB31452_00_6CA985DC6027CD14400D0C60B4BD3F767DA472E8/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
NPUB31453|ps3|edi|Ultratron||3|http://tmdb.np.dl.playstation.net/tmdb/NPUB31453_00_FE9752F6C97DE0A0DA310D3CF97C170176D6DE0D/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
NPUB31454|ps3|edi|Tales from the Borderlands||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31454_00_B80E04BEBE0C5D07852B6F71B357F04A021C9697/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM
NPUB31455|ps3|edi|Yu-Gi-Oh! Millennium Duels||4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31455_00_A14EDA78DF59A994B9DDAA5ABABCF672B0DB9191/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM
